               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.024014,            0.013057,           0.0025798,             0.99146,             0.74707,             0.89174,             0.64809,            0.020578,           0.0076381,           0.0023851,             0.00208,             0.00208,             0.00208
                  82,            0.026078,            0.013041,           0.0034881,             0.98726,             0.74535,             0.89386,             0.66364,             0.02065,            0.007606,           0.0023587,            0.001981,            0.001981,            0.001981
                  83,            0.024868,            0.012881,           0.0032334,             0.98116,             0.74837,             0.89969,             0.66468,            0.020538,           0.0075315,           0.0023426,            0.001882,            0.001882,            0.001882
                  84,            0.024607,            0.012431,           0.0027729,             0.98097,             0.74499,             0.89775,             0.67269,            0.019131,           0.0074426,           0.0023075,            0.001783,            0.001783,            0.001783
                  85,             0.02508,             0.01294,            0.003273,             0.98552,             0.74376,             0.90214,             0.67948,            0.020113,           0.0074473,           0.0022394,            0.001684,            0.001684,            0.001684
                  86,            0.025334,            0.013317,           0.0025815,             0.98773,             0.74412,             0.90899,             0.68178,            0.019305,           0.0073991,           0.0021885,            0.001585,            0.001585,            0.001585
                  87,            0.023875,            0.011576,            0.002486,             0.98472,             0.74568,             0.91622,             0.69159,            0.019045,           0.0073379,           0.0021529,            0.001486,            0.001486,            0.001486
                  88,            0.023753,            0.011531,           0.0028178,             0.83181,             0.80631,             0.92234,             0.69712,            0.019378,           0.0073442,           0.0021295,            0.001387,            0.001387,            0.001387
                  89,            0.023585,            0.012629,           0.0031719,             0.98245,              0.7472,             0.92224,             0.69974,            0.018707,           0.0072777,           0.0020994,            0.001288,            0.001288,            0.001288
                  90,            0.024922,            0.013101,           0.0038245,             0.98223,             0.74715,             0.92197,             0.72245,            0.018239,           0.0072164,           0.0020755,            0.001189,            0.001189,            0.001189
                  91,            0.023229,            0.012683,           0.0024856,             0.98372,              0.7458,             0.92208,             0.72342,            0.018251,           0.0072211,            0.002051,             0.00109,             0.00109,             0.00109
                  92,            0.022909,            0.011986,            0.002408,             0.97979,             0.74961,             0.92211,             0.71163,            0.018046,           0.0071912,           0.0020323,            0.000991,            0.000991,            0.000991
                  93,            0.022519,             0.01366,            0.002768,              0.8264,             0.85203,             0.92902,             0.72646,            0.017838,           0.0071817,           0.0020063,            0.000892,            0.000892,            0.000892
                  94,            0.023086,            0.011568,           0.0029325,             0.84245,             0.85166,             0.92829,             0.71395,            0.017936,           0.0071767,           0.0019831,            0.000793,            0.000793,            0.000793
                  95,            0.023219,            0.012973,           0.0024632,             0.84584,             0.85163,               0.929,             0.71587,            0.017762,           0.0071365,            0.001962,            0.000694,            0.000694,            0.000694
                  96,            0.022643,            0.013387,           0.0031147,             0.97257,             0.78117,               0.929,             0.72938,            0.017495,           0.0071124,           0.0019435,            0.000595,            0.000595,            0.000595
                  97,            0.022288,            0.013144,           0.0020954,             0.97635,             0.77807,             0.93592,             0.72902,            0.017507,           0.0071064,           0.0019309,            0.000496,            0.000496,            0.000496
                  98,            0.022152,            0.013636,           0.0023512,             0.97456,             0.77982,             0.93605,             0.73151,            0.017248,           0.0070698,           0.0019243,            0.000397,            0.000397,            0.000397
                  99,            0.022722,            0.013613,           0.0030181,             0.97397,             0.78003,             0.93606,             0.74057,            0.017231,           0.0070526,           0.0019154,            0.000298,            0.000298,            0.000298
